player,span,matches_played,innings_batted,not_out,runs,highest_inns_score,batting_average,balls_faced,strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
A Kharel (BIK),2024-2024,5,3,3,17,10,-,19,89.47,-,-,-,2,0
Mayan Yadav (JAB),2024-2024,2,2,1,16,14,16,21,76.19,-,-,-,0,0
D Adhikari (LUL),2024-2024,2,1,-,14,14,14,16,87.5,-,-,-,2,0
Z Malik (POA),2024-2024,2,2,-,14,10,7,24,58.33,-,-,-,0,0
N Saud (SPR),2024-2024,8,3,1,14,10,7,13,107.69,-,-,-,0,1
J Tromp (JAB),2024-2024,1,1,-,13,13,13,13,100,-,-,-,1,1
DS Bajwa (SPR),2024-2024,1,1,-,12,12,12,16,75,-,-,-,1,0
UBS Thakuri (KAY),2024-2024,5,2,-,12,12,6,18,66.66,-,-,1,2,0
A Yadav (JAB),2024-2024,5,3,-,12,11,4,24,50,-,-,1,0,0
D Kandel (KAG),2024-2024,6,4,3,12,11,12,9,133.33,-,-,1,1,1
N Bhatta (BIK),2024-2024,2,2,-,11,7,5.5,27,40.74,-,-,-,0,0
Ismat Alam (BIK),2024-2024,3,3,-,11,6,3.66,20,55,-,-,1,1,0
Sohail Tanvir (CHR),2024-2024,8,6,2,11,5,2.75,13,84.61,-,-,2,2,0
BCJ Cutting (LUL),2024-2024,3,3,-,10,6,3.33,19,52.63,-,-,-,1,0
H Dhami (JAB),2024-2024,2,1,-,9,9,9,11,81.81,-,-,-,1,0
AP Gomel (POA),2024-2024,1,1,-,8,8,8,15,53.33,-,-,-,0,0
Subash Bhandari (BIK),2024-2024,3,1,-,6,6,6,10,60,-,-,-,0,0
K Mahato (JAB),2024-2024,10,4,3,6,4,6,21,28.57,-,-,-,0,0
RR Simmonds (LUL),2024-2024,7,4,2,6,4,3,13,46.15,-,-,2,0,0
D Gupta (LUL),2024-2024,5,2,2,5,5,-,4,125,-,-,-,1,0
Rohan Mustafa (SPR),2024-2024,1,1,-,4,4,4,7,57.14,-,-,-,0,0
B Khatri (SPR),2024-2024,2,1,1,4,4,-,3,133.33,-,-,-,0,0
LN Rajbanshi (JAB),2024-2024,10,3,-,4,4,1.33,14,28.57,-,-,2,1,0
NK Yadav (KAY),2024-2024,9,5,2,4,4,1.33,16,25,-,-,3,0,0
TR Bhandari (LUL),2024-2024,1,1,1,3,3,-,5,60,-,-,-,0,0
Basil Hameed (CHR),2024-2024,2,2,1,3,2,3,6,50,-,-,-,0,0
A Bohara (SPR),2024-2024,9,2,2,2,2,-,3,66.66,-,-,-,0,0
S Dhakal (POA),2024-2024,7,4,4,2,1,-,5,40,-,-,-,0,0
A Shrestha (SPR),2024-2024,1,1,-,1,1,1,5,20,-,-,-,0,0
NA Sowter (KAG),2024-2024,3,1,1,1,1,-,1,100,-,-,-,0,0
Aakash Chand (POA),2024-2024,4,1,-,1,1,1,3,33.33,-,-,-,0,0
JK Mukhiya (BIK),2024-2024,1,1,-,-,-,-,1,-,-,-,1,0,0
BFW de Leede (POA),2024-2024,1,1,-,-,-,-,1,-,-,-,1,0,0
TR Das (POA),2024-2024,1,1,-,-,-,-,1,-,-,-,1,0,0
S Aryal (POA),2024-2024,1,1,-,-,-,-,0,-,-,-,1,0,0
R Kumar (CHR),2024-2024,5,1,1,-,0,-,0,-,-,-,-,0,0
Abhishesh Gautam (LUL),2024-2024,4,1,-,-,-,-,1,-,-,-,1,0,0
Rit Gautam (KAY),2024-2024,2,2,-,-,-,-,4,-,-,-,2,0,0
BP Sharma (KAY),2024-2024,8,2,-,-,-,-,3,-,-,-,2,0,0
